tahun,provinsi,wilayah,tipe,ahh_laki_laki,ahh_perempuan,ahh_gabungan
2020,ACEH,ACEH,Provinsi,68.04,71.91,69.97
2020,ACEH,Simeulue,Kabupaten/Kota,63.3,67.14,65.22
2020,ACEH,Aceh Singkil,Kabupaten/Kota,65.39,69.31,67.35
2020,ACEH,Aceh Selatan,Kabupaten/Kota,62.4,66.2,64.3
2020,ACEH,Aceh Tenggara,Kabupaten/Kota,66.11,70.06,68.09
2020,ACEH,Aceh Timur,Kabupaten/Kota,66.72,70.63,68.67
2020,ACEH,Aceh Tengah,Kabupaten/Kota,66.8,70.78,68.79
2020,ACEH,Aceh Barat,Kabupaten/Kota,65.95,69.91,67.93
2020,ACEH,Aceh Besar,Kabupaten/Kota,67.8,71.69,69.75
2020,ACEH,Pidie,Kabupaten/Kota,64.94,68.84,66.89
2020,ACEH,Bireuen,Kabupaten/Kota,69.23,73.11,71.17
2020,ACEH,Aceh Utara,Kabupaten/Kota,66.78,70.73,68.75
2020,ACEH,Aceh Barat Daya,Kabupaten/Kota,63.04,66.86,64.95
2020,ACEH,Gayo Lues,Kabupaten/Kota,63.5,67.34,65.42
2020,ACEH,Aceh Tamiang,Kabupaten/Kota,67.56,71.5,69.53
2020,ACEH,Nagan Raya,Kabupaten/Kota,67.21,71.13,69.17
2020,ACEH,Aceh Jaya,Kabupaten/Kota,65.16,69.06,67.11
2020,ACEH,Bener Meriah,Kabupaten/Kota,67.21,71.14,69.17
2020,ACEH,Pidie Jaya,Kabupaten/Kota,68.15,72.04,70.09
2020,ACEH,Kota Banda Aceh,Kabupaten/Kota,69.48,73.33,71.41
2020,ACEH,Kota Sabang,Kabupaten/Kota,68.51,72.42,70.47
2020,ACEH,Kota Langsa,Kabupaten/Kota,67.41,71.34,69.38
2020,ACEH,Kota Lhokseumawe,Kabupaten/Kota,69.63,73.47,71.55
2020,ACEH,Kota Subulussalam,Kabupaten/Kota,62.08,65.86,63.97
2020,SUMATERA UTARA,SUMATERA UTARA,Provinsi,67.22,71.08,69.15
2020,SUMATERA UTARA,Nias,Kabupaten/Kota,67.74,71.67,69.7
2020,SUMATERA UTARA,Mandailing Natal,Kabupaten/Kota,60.68,64.42,62.55
2020,SUMATERA UTARA,Tapanuli Selatan,Kabupaten/Kota,62.96,66.77,64.86
2020,SUMATERA UTARA,Tapanuli Tengah,Kabupaten/Kota,65.11,69.09,67.1
2020,SUMATERA UTARA,Tapanuli Utara,Kabupaten/Kota,66.6,70.57,68.58
2020,SUMATERA UTARA,Toba Samosir / Toba,Kabupaten/Kota,68.08,71.99,70.03
2020,SUMATERA UTARA,Labuhan Batu,Kabupaten/Kota,67.9,71.86,69.88
2020,SUMATERA UTARA,Asahan,Kabupaten/Kota,66.22,70.2,68.21
2020,SUMATERA UTARA,Simalungun,Kabupaten/Kota,69.24,73.12,71.18
2020,SUMATERA UTARA,Dairi,Kabupaten/Kota,66.99,70.91,68.95
2020,SUMATERA UTARA,Karo,Kabupaten/Kota,69.42,73.28,71.35
2020,SUMATERA UTARA,Deli Serdang,Kabupaten/Kota,69.76,73.61,71.69
2020,SUMATERA UTARA,Langkat,Kabupaten/Kota,66.78,70.71,68.75
2020,SUMATERA UTARA,Nias Selatan,Kabupaten/Kota,66.72,70.65,68.69
2020,SUMATERA UTARA,Humbang Hasundutan,Kabupaten/Kota,67.25,71.18,69.22
2020,SUMATERA UTARA,Pakpak Bharat,Kabupaten/Kota,63.79,67.62,65.7
2020,SUMATERA UTARA,Samosir,Kabupaten/Kota,69.29,73.16,71.22
2020,SUMATERA UTARA,Serdang Bedagai,Kabupaten/Kota,66.66,70.61,68.63
2020,SUMATERA UTARA,Batu Bara,Kabupaten/Kota,64.95,68.85,66.9
2020,SUMATERA UTARA,Padang Lawas Utara,Kabupaten/Kota,65.11,69.1,67.1
2020,SUMATERA UTARA,Padang Lawas,Kabupaten/Kota,65.09,68.99,67.04
2020,SUMATERA UTARA,Labuhan Batu Selatan,Kabupaten/Kota,66.63,70.65,68.64
2020,SUMATERA UTARA,Labuhan Batu Utara,Kabupaten/Kota,67.46,71.37,69.41
2020,SUMATERA UTARA,Nias Utara,Kabupaten/Kota,67.41,71.34,69.38
2020,SUMATERA UTARA,Nias Barat,Kabupaten/Kota,66.94,70.88,68.91
2020,SUMATERA UTARA,Kota Sibolga,Kabupaten/Kota,67.0,70.93,68.97
2020,SUMATERA UTARA,Kota Tanjung Balai,Kabupaten/Kota,61.34,65.1,63.22
2020,SUMATERA UTARA,Kota Pematang Siantar,Kabupaten/Kota,71.65,75.38,73.52
2020,SUMATERA UTARA,Kota Tebing Tinggi,Kabupaten/Kota,68.9,72.77,70.84
2020,SUMATERA UTARA,Kota Medan,Kabupaten/Kota,71.21,74.98,73.09
2020,SUMATERA UTARA,Kota Binjai,Kabupaten/Kota,70.43,74.24,72.34
2020,SUMATERA UTARA,Kota Padangsidimpuan,Kabupaten/Kota,67.25,71.35,69.3
2020,SUMATERA UTARA,Kota Gunungsitoli,Kabupaten/Kota,69.22,73.08,71.15
2020,SUMATERA BARAT,SUMATERA BARAT,Provinsi,67.59,71.45,69.52
2020,SUMATERA BARAT,Kepulauan Mentawai,Kabupaten/Kota,62.72,66.59,64.66
2020,SUMATERA BARAT,Pesisir Selatan,Kabupaten/Kota,68.85,72.76,70.81
2020,SUMATERA BARAT,Solok,Kabupaten/Kota,66.56,70.5,68.53
2020,SUMATERA BARAT,Sijunjung,Kabupaten/Kota,64.23,68.09,66.16
2020,SUMATERA BARAT,Tanah Datar,Kabupaten/Kota,67.94,71.86,69.9
2020,SUMATERA BARAT,Padang Pariaman,Kabupaten/Kota,66.77,70.72,68.75
2020,SUMATERA BARAT,Agam,Kabupaten/Kota,70.41,74.24,72.32
2020,SUMATERA BARAT,Lima Puluh Kota,Kabupaten/Kota,67.79,71.71,69.75
2020,SUMATERA BARAT,Pasaman,Kabupaten/Kota,65.37,69.34,67.36
2020,SUMATERA BARAT,Solok Selatan,Kabupaten/Kota,65.77,69.76,67.77
2020,SUMATERA BARAT,Dharmasraya,Kabupaten/Kota,69.35,73.22,71.28
2020,SUMATERA BARAT,Pasaman Barat,Kabupaten/Kota,65.69,69.78,67.73
2020,SUMATERA BARAT,Kota Padang,Kabupaten/Kota,71.76,75.45,73.61
2020,SUMATERA BARAT,Kota Solok,Kabupaten/Kota,71.7,75.44,73.57
2020,SUMATERA BARAT,Kota Sawah Lunto,Kabupaten/Kota,68.02,71.9,69.96
2020,SUMATERA BARAT,Kota Padang Panjang,Kabupaten/Kota,70.87,74.63,72.75
2020,SUMATERA BARAT,Kota Bukittinggi,Kabupaten/Kota,72.51,76.18,74.34
2020,SUMATERA BARAT,Kota Payakumbuh,Kabupaten/Kota,71.84,75.56,73.7
2020,SUMATERA BARAT,Kota Pariaman,Kabupaten/Kota,68.22,72.2,70.21
2020,RIAU,RIAU,Provinsi,69.75,73.55,71.65
2020,RIAU,Kuantan Singingi,Kabupaten/Kota,66.43,70.48,68.46
2020,RIAU,Indragiri Hulu,Kabupaten/Kota,68.24,72.17,70.2
2020,RIAU,Indragiri Hilir,Kabupaten/Kota,65.81,69.79,67.8
2020,RIAU,Pelalawan,Kabupaten/Kota,69.17,73.05,71.11
2020,RIAU,Siak,Kabupaten/Kota,69.12,72.99,71.06
2020,RIAU,Kampar,Kabupaten/Kota,68.75,72.68,70.72
2020,RIAU,Rokan Hulu,Kabupaten/Kota,68.05,71.97,70.01
2020,RIAU,Bengkalis,Kabupaten/Kota,69.22,73.08,71.15
2020,RIAU,Rokan Hilir,Kabupaten/Kota,68.31,72.21,70.26
2020,RIAU,Kepulauan Meranti,Kabupaten/Kota,65.66,69.59,67.62
2020,RIAU,Kota Pekanbaru,Kabupaten/Kota,70.41,74.2,72.31
2020,RIAU,Kota Dumai,Kabupaten/Kota,68.92,72.83,70.88
2020,JAMBI,JAMBI,Provinsi,69.27,73.07,71.17
2020,JAMBI,Kerinci,Kabupaten/Kota,67.98,71.84,69.91
2020,JAMBI,Merangin,Kabupaten/Kota,69.34,73.15,71.25
2020,JAMBI,Sarolangun,Kabupaten/Kota,67.13,71.16,69.14
2020,JAMBI,Batang Hari,Kabupaten/Kota,68.61,72.48,70.55
2020,JAMBI,Muaro Jambi,Kabupaten/Kota,69.34,73.16,71.25
2020,JAMBI,Tanjung Jabung Timur,Kabupaten/Kota,64.3,68.12,66.21
2020,JAMBI,Tanjung Jabung Barat,Kabupaten/Kota,66.11,70.06,68.09
2020,JAMBI,Tebo,Kabupaten/Kota,67.96,71.9,69.93
2020,JAMBI,Bungo,Kabupaten/Kota,65.77,69.66,67.72
2020,JAMBI,Kota Jambi,Kabupaten/Kota,70.76,74.5,72.63
2020,JAMBI,Kota Sungai Penuh,Kabupaten/Kota,70.22,73.98,72.1
2020,SUMATERA SELATAN,SUMATERA SELATAN,Provinsi,68.0,71.86,69.93
2020,SUMATERA SELATAN,Ogan Komering Ulu,Kabupaten/Kota,65.98,70.15,68.06
2020,SUMATERA SELATAN,Ogan Komering Ilir,Kabupaten/Kota,66.41,70.57,68.49
2020,SUMATERA SELATAN,Muara Enim,Kabupaten/Kota,67.25,70.86,69.06
2020,SUMATERA SELATAN,Lahat,Kabupaten/Kota,64.01,67.95,65.98
2020,SUMATERA SELATAN,Musi Rawas,Kabupaten/Kota,66.05,70.1,68.07
2020,SUMATERA SELATAN,Musi Banyuasin,Kabupaten/Kota,66.58,70.71,68.64
2020,SUMATERA SELATAN,Banyu Asin,Kabupaten/Kota,66.8,70.92,68.86
2020,SUMATERA SELATAN,Ogan Komering Ulu Selatan,Kabupaten/Kota,64.98,68.97,66.97
2020,SUMATERA SELATAN,Ogan Komering Ulu Timur,Kabupaten/Kota,67.04,71.05,69.05
2020,SUMATERA SELATAN,Ogan Ilir,Kabupaten/Kota,63.46,67.38,65.42
2020,SUMATERA SELATAN,Empat Lawang,Kabupaten/Kota,63.09,66.97,65.03
2020,SUMATERA SELATAN,Penukal Abab Lematang Ilir,Kabupaten/Kota,66.09,70.23,68.16
2020,SUMATERA SELATAN,Musi Rawas Utara,Kabupaten/Kota,63.66,67.57,65.61
2020,SUMATERA SELATAN,Kota Palembang,Kabupaten/Kota,68.74,72.71,70.72
2020,SUMATERA SELATAN,Kota Prabumulih,Kabupaten/Kota,68.27,72.24,70.25
2020,SUMATERA SELATAN,Kota Pagar Alam,Kabupaten/Kota,64.67,68.64,66.66
2020,SUMATERA SELATAN,Kota Lubuklinggau,Kabupaten/Kota,67.14,71.19,69.16
2020,BENGKULU,BENGKULU,Provinsi,67.47,71.27,69.37
2020,BENGKULU,Bengkulu Selatan,Kabupaten/Kota,65.86,69.88,67.87
2020,BENGKULU,Rejang Lebong,Kabupaten/Kota,66.65,70.5,68.58
2020,BENGKULU,Bengkulu Utara,Kabupaten/Kota,66.16,70.12,68.14
2020,BENGKULU,Kaur,Kabupaten/Kota,64.72,68.52,66.62
2020,BENGKULU,Seluma,Kabupaten/Kota,65.79,69.66,67.72
2020,BENGKULU,Mukomuko,Kabupaten/Kota,64.71,68.54,66.62
2020,BENGKULU,Lebong,Kabupaten/Kota,61.29,65.18,63.23
2020,BENGKULU,Kepahiang,Kabupaten/Kota,66.0,69.88,67.94
2020,BENGKULU,Bengkulu Tengah,Kabupaten/Kota,66.14,70.17,68.16
2020,BENGKULU,Kota Bengkulu,Kabupaten/Kota,68.21,72.05,70.13
2020,LAMPUNG,LAMPUNG,Provinsi,68.78,72.61,70.69
2020,LAMPUNG,Lampung Barat,Kabupaten/Kota,65.53,69.5,67.52
2020,LAMPUNG,Tanggamus,Kabupaten/Kota,66.54,70.47,68.5
2020,LAMPUNG,Lampung Selatan,Kabupaten/Kota,67.31,71.24,69.28
2020,LAMPUNG,Lampung Timur,Kabupaten/Kota,68.71,72.63,70.67
2020,LAMPUNG,Lampung Tengah,Kabupaten/Kota,67.81,71.77,69.79
